Barrio,DESTINO,cantidad_ocio_comercio,cantidad_oficinas,cantidad_residencial,centros_docentes,distancia_al_mar,nivel_socio_economico,Valor/m2_predicho
ALBUFERETA,COMERCIO,0.42222964748993813,0.008209704836964583,0.6993800929499675,0.17391304347826086,0.916350483640153,0.9999999999999999,0.46053630593935946
ALBUFERETA,CULTURAL,0.42222964748993813,0.008209704836964583,0.6993800929499675,0.17391304347826086,0.916350483640153,0.9999999999999999,0.5371581676969406
ALBUFERETA,DEPORTIVO,0.42222964748993813,0.008209704836964583,0.6993800929499675,0.17391304347826086,0.916350483640153,0.9999999999999999,0.5338992020859572
ALBUFERETA,EDIF. SINGULAR,0.42222964748993813,0.008209704836964583,0.6993800929499675,0.17391304347826086,0.916350483640153,0.9999999999999999,0.5258481932240862
ALBUFERETA,ESPECTACULOS,0.42222964748993813,0.008209704836964583,0.6993800929499675,0.17391304347826086,0.916350483640153,0.9999999999999999,0.5365574030376952
ALBUFERETA,INDUSTRIAL,0.42222964748993813,0.008209704836964583,0.6993800929499675,0.17391304347826086,0.916350483640153,0.9999999999999999,0.583665095897171
ALBUFERETA,OCIO-HOSTELERIA,0.42222964748993813,0.008209704836964583,0.6993800929499675,0.17391304347826086,0.916350483640153,0.9999999999999999,0.5346522331270922
ALBUFERETA,OFICINA,0.42222964748993813,0.008209704836964583,0.6993800929499675,0.17391304347826086,0.916350483640153,0.9999999999999999,0.4548677551501634
ALBUFERETA,PUERTOS COMERC.,0.42222964748993813,0.008209704836964583,0.6993800929499675,0.17391304347826086,0.916350483640153,0.9999999999999999,0.5089210108667894
ALBUFERETA,RELIGIOSO,0.42222964748993813,0.008209704836964583,0.6993800929499675,0.17391304347826086,0.916350483640153,0.9999999999999999,0.5365574030376952
ALBUFERETA,RESIDENCIAL,0.42222964748993813,0.008209704836964583,0.6993800929499675,0.17391304347826086,0.916350483640153,0.9999999999999999,0.5646847544432108
ALBUFERETA,"SANIDAD,BENEF.",0.42222964748993813,0.008209704836964583,0.6993800929499675,0.17391304347826086,0.916350483640153,0.9999999999999999,0.527226111335767
ALBUFERETA,SOLARES,0.42222964748993813,0.008209704836964583,0.6993800929499675,0.17391304347826086,0.916350483640153,0.9999999999999999,0.5761053975268204
